Kind,MimeType,Id,Name,ItemId,CaratWeightVersion,Center_Stone_Shape,MetalColor
drive#file,image/jpeg,1Jbdhl28GbLcpXKvZfIe2ggwpzLbPRaXe,MRCXOV2378Q_80__W.jpg,MRCXOV2378Q,80,,W.jpg
drive#file,image/jpeg,1MDceRuNREqQNyYY8YBrZmc6OH7T3qn7-,MRS126___W.jpg,MRS126,,,W.jpg
drive#file,image/jpeg,1LGxza_D4mNrnhSZSvq9oLqHiOQChj5MR,MRS025___W.jpg,MRS025,,,W.jpg
drive#file,image/jpeg,1KrbVsAGPFasdXHOWAJEE8H2bIun0PJb0,MRS057___W.jpg,MRS057,,,W.jpg
drive#file,image/jpeg,1Km0n3Ro56xkumkePrRUL8ztikCOwv2Mr,MRS068___W.jpg,MRS068,,,W.jpg
drive#file,image/jpeg,1KAoVjS8aa0rZj6jl0Y1gz1qySyZrtTBU,MRS090_30__W.jpg,MRS090,30,,W.jpg
drive#file,image/jpeg,1K91dMlPAgOP0bENHe6LOlgQ7Shj8YrxW,MRS096___W.jpg,MRS096,,,W.jpg
drive#file,image/jpeg,1JIOWWGzt70ZWBwtdGx2_EE4zn7gv7ct_,MRCRD2847Q_14__W.jpg,MRCRD2847Q,14,,W.jpg
drive#file,image/jpeg,1IhZ2w2PYM3Z4ACsBlWxUUqlY0dh8D0s6,MRCRD2889Q___W.jpg,MRCRD2889Q,,,W.jpg
drive#file,image/jpeg,1J90cglu7RFoK5eG_2KPZrbu88WP11g_R,MRCRD2848Q_55__W.jpg,MRCRD2848Q,55,,W.jpg
drive#file,image/jpeg,1HYpq95FG8zLYvhOaRwTuMVECfpVXsffD,MRCRD2823_32__W.jpg,MRCRD2823,32,,W.jpg
drive#file,image/jpeg,1Hjy4wDIrR7Dg15rwrkfLmNXAwsK-OM0k,MRCRD2788___W.jpg,MRCRD2788,,,W.jpg
drive#file,image/jpeg,1HoySKG0OSNGnWHUqlHO3xEHyYpliMDId,MRCRD2773Q_24__W.jpg,MRCRD2773Q,24,,W.jpg
drive#file,image/jpeg,1HvYuXmuz5h5adFVbUzwgkY4-t0TrNFY9,MRCRD2765Q_23__W.jpg,MRCRD2765Q,23,,W.jpg
drive#file,image/jpeg,1HqYPXowm1_Kq0ximK2RCDEyeOPMgFadv,MRCRD2772Q___W.jpg,MRCRD2772Q,,,W.jpg
drive#file,image/jpeg,1HlAhVV2u8KZEXhaSAgGdqO_KrMx7lMTL,MRCRD2775Q_15__W.jpg,MRCRD2775Q,15,,W.jpg
drive#file,image/jpeg,1Hku9BtOnYm1I0cH4w-8AwLttLE3ixuvR,MRCRD2778_40__W.jpg,MRCRD2778,40,,W.jpg
drive#file,image/jpeg,1J5hP1ixOU0KDBRQD1UY8a4hT5Ov0hh-T,MRCRD2865_50__W.jpg,MRCRD2865,50,,W.jpg
drive#file,image/jpeg,1IDeN0k16RlJEXBvsa2Mm3kIWnIDt69u5,MRCRD2956L_95__W.jpg,MRCRD2956L,95,,W.jpg
drive#file,image/jpeg,1K6MD-q2rQzN57yM0CcVfCtqdpTsYB1-D,MRCRDB2521H_110__W.jpg,MRCRDB2521H,110,,W.jpg
drive#file,image/jpeg,1K5UMtvDFxAc2QvLMamXZdZPjjTW6zHD2,MRCRDD2521E_342__W.jpg,MRCRDD2521E,342,,W.jpg
drive#file,image/jpeg,1JzkfnxwvEgV1l1-klA3odXMkg9LAZEHp,MRCRDD2521H_180__W.jpg,MRCRDD2521H,180,,W.jpg
drive#file,image/jpeg,1HRPopsu_mt8TMWcYYQci-joAYagZE0Zv,MRCRD2830Q_30__W.jpg,MRCRD2830Q,30,,W.jpg
drive#file,image/jpeg,1JIX-tAlU6CgK5hS8g8CiLwTcZnktfn8t,MRCRD2846Q_22__W.jpg,MRCRD2846Q,22,,W.jpg
drive#file,image/jpeg,1IzZ2b2FKch4grqcBwajsOF-KKBdjlCTf,MRCRD2889___W.jpg,MRCRD2889,,,W.jpg
